date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:30	3213/3213	---M-Z	200	added ('OK')	text/xml	date:Tue,%2022%20Dec%202020%2015:59:43%20GMT	http://besa.automatic.agency/snapp-market/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fbesa.automatic.agency%2Fsnapp-market%2F&format=xml	F:/snap%20market/besa.automatic.agency/snapp-market/wp-json/oembed/1.0/embedfc1b	(from http://besa.automatic.agency/snapp-market/)
19:29:33	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%223c2e-5f1ef404-0;;;%22	http://besa.automatic.agency/snapp-market/wp-content/uploads/2020/06/favicon-1.ico	F:/snap%20market/besa.automatic.agency/snapp-market/wp-content/uploads/2020/06/favicon-1.ico	(from http://besa.automatic.agency/snapp-market/)
19:29:38	54900/54900	---M--	200	added ('OK')	application/x-font-ttf	etag:%22d674-5f1ef404-0;;;%22	http://besa.automatic.agency/snapp-market/wp-content/uploads/fonts/IRANSansWebFaNum_Bold.ttf	F:/snap%20market/besa.automatic.agency/snapp-market/wp-content/uploads/fonts/IRANSansWebFaNum_Bold.ttf	(from http://besa.automatic.agency/snapp-market/)
19:29:38	33243/33243	---M--	200	added ('OK')	image/png	etag:%2281db-5f1ef404-0;;;%22	http://besa.automatic.agency/snapp-market/wp-content/uploads/2020/06/besamarket-logo.png	F:/snap%20market/besa.automatic.agency/snapp-market/wp-content/uploads/2020/06/besamarket-logo.png	(from http://besa.automatic.agency/snapp-market/)
19:29:38	57952/57952	---M--	200	added ('OK')	application/x-font-ttf	etag:%22e260-5f1ef404-0;;;%22	http://besa.automatic.agency/snapp-market/wp-content/uploads/fonts/Iransans-fa.ttf	F:/snap%20market/besa.automatic.agency/snapp-market/wp-content/uploads/fonts/Iransans-fa.ttf	(from http://besa.automatic.agency/snapp-market/)
19:29:40	15385/15385	---M--	200	added ('OK')	image/png	etag:%223c19-5f1ef404-0;;;%22	http://besa.automatic.agency/snapp-market/wp-content/uploads/2020/06/besamarket-logo-300x146.png	F:/snap%20market/besa.automatic.agency/snapp-market/wp-content/uploads/2020/06/besamarket-logo-300x146.png	(from http://besa.automatic.agency/snapp-market/)
19:29:42	139028/139028	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202020%2015:59:53%20GMT	http://besa.automatic.agency/snapp-market/downloads/	F:/snap%20market/besa.automatic.agency/snapp-market/downloads/index.html	(from http://besa.automatic.agency/snapp-market/)
19:29:42	139016/139016	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202020%2015:59:53%20GMT	http://besa.automatic.agency/snapp-market/orders/	F:/snap%20market/besa.automatic.agency/snapp-market/orders/index.html	(from http://besa.automatic.agency/snapp-market/)
19:29:43	2843/2843	---M--	200	added ('OK')	image/jpeg	etag:%22b1b-5f1ef404-0;;;%22	http://besa.automatic.agency/snapp-market/wp-content/uploads/2020/06/5bbb3beb1d757-100x100.jpg	F:/snap%20market/besa.automatic.agency/snapp-market/wp-content/uploads/2020/06/5bbb3beb1d757-100x100.jpg	(from http://besa.automatic.agency/snapp-market/)
19:29:44	139040/139040	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202020%2015:59:55%20GMT	http://besa.automatic.agency/snapp-market/edit-address/	F:/snap%20market/besa.automatic.agency/snapp-market/edit-address/index.html	(from http://besa.automatic.agency/snapp-market/)
